CO2,seconds
400,1304.82
402,1305.81
402,1306.8
405,1307.79
405,1308.78
402,1309.77
405,1310.76
402,1311.75
407,1312.74
405,1313.73
405,1314.72
402,1315.71
405,1316.7
407,1317.69
405,1318.68
402,1319.67
405,1320.66
405,1321.65
405,1322.64
405,1323.63
407,1324.62
405,1325.61
407,1326.6
402,1327.59
402,1328.58
402,1329.57
405,1330.56
405,1331.55
402,1332.54
402,1333.53
402,1334.52
402,1335.51
400,1336.5
405,1337.49
402,1338.48
402,1339.47
400,1340.46
400,1341.45
405,1342.44
405,1343.43
402,1344.42
405,1345.41
405,1346.4
405,1347.39
405,1348.38
407,1349.37
405,1350.36
407,1351.35
407,1352.34
410,1353.33
407,1354.32
407,1355.31
410,1356.3
407,1357.29
410,1358.28
407,1359.27
407,1360.26
407,1361.25
407,1362.24
405,1363.23
402,1364.22
402,1365.21
400,1366.2
402,1367.19
405,1368.18
402,1369.17
402,1370.16
402,1371.15
405,1372.14
402,1373.13
402,1374.12
402,1375.11
405,1376.1
402,1377.09
405,1378.08
407,1379.07
405,1380.06
407,1381.05
407,1382.04
410,1383.03
407,1384.02
407,1385.01
415,1386
407,1386.99
410,1387.98
410,1388.97
410,1389.96
407,1390.95
410,1391.94
407,1392.93
410,1393.92
405,1394.91
415,1395.9
407,1396.89
410,1397.88
410,1398.87
407,1399.86
407,1400.85
407,1401.84
407,1402.83
410,1403.82
410,1404.81
407,1405.8
405,1406.79
415,1407.78
410,1408.77
405,1409.76
415,1410.75
407,1411.74
407,1412.73
407,1413.72
407,1414.71
405,1415.7
407,1416.69
410,1417.68
407,1418.67
407,1419.66
415,1420.65
410,1421.64
407,1422.63
410,1423.62
410,1424.61
407,1425.6
410,1426.59
407,1427.58
415,1428.57
410,1429.56
407,1430.55
415,1431.54
410,1432.53
410,1433.52
407,1434.51
410,1435.5
410,1436.49
405,1437.48
405,1438.47
405,1439.46
405,1440.45
405,1441.44
405,1442.43
405,1443.42
405,1444.41
407,1445.4
407,1446.39
405,1447.38
405,1448.37
405,1449.36
407,1450.35
405,1451.34
402,1452.33
405,1453.32
402,1454.31
402,1455.3
405,1456.29
405,1457.28
405,1458.27
405,1459.26
402,1460.25
402,1461.24
405,1462.23
405,1463.22
402,1464.21
400,1465.2
402,1466.19
402,1467.18
402,1468.17
400,1469.16
400,1470.15
403,1471.14
403,1472.13
403,1473.12
403,1474.11
400,1475.1
400,1476.09
400,1477.08
403,1478.07
400,1479.06
405,1480.05
405,1481.04
400,1482.03
405,1483.02
400,1484.01
400,1485
400,1485.99
400,1486.98
405,1487.97
405,1488.96
405,1489.95
400,1490.94
400,1491.93
400,1492.92
400,1493.91
408,1494.9
403,1495.89
411,1496.88
408,1497.87
408,1498.86
403,1499.85
403,1500.84
411,1501.83
411,1502.82
411,1503.81
408,1504.8
408,1505.79
403,1506.78
403,1507.77
400,1508.76
403,1509.75
403,1510.74
403,1511.73
403,1512.72
403,1513.71
400,1514.7
400,1515.69
403,1516.68
400,1517.67
411,1518.66
408,1519.65
403,1520.64
403,1521.63
408,1522.62
408,1523.61
408,1524.6
400,1525.59
403,1526.58
408,1527.57
403,1528.56
400,1529.55
400,1530.54
400,1531.53
400,1532.52
400,1533.51
400,1534.5
400,1535.49
402,1536.48
406,1537.47
402,1538.46
400,1539.45
406,1540.44
402,1541.43
400,1542.42
402,1543.41
402,1544.4
402,1545.39
402,1546.38
402,1547.37
406,1548.36
402,1549.35
406,1550.34
402,1551.33
406,1552.32
406,1553.31
402,1554.3
406,1555.29
406,1556.28
406,1557.27
402,1558.26
402,1559.25
410,1560.24
410,1561.23
402,1562.22
410,1563.21
410,1564.2
410,1565.19
406,1566.18
406,1567.17
410,1568.16
414,1569.15
414,1570.14
410,1571.13
410,1572.12
410,1573.11
410,1574.1
406,1575.09
406,1576.08
406,1577.07
406,1578.06
410,1579.05
410,1580.04
406,1581.03
410,1582.02
410,1583.01
406,1584
406,1584.99
402,1585.98
406,1586.97
406,1587.96
406,1588.95
406,1589.94
406,1590.93
406,1591.92
402,1592.91
402,1593.9
402,1594.89
400,1595.88
402,1596.87
400,1597.86
400,1598.85
402,1599.84
400,1600.83
402,1601.82
406,1602.81
402,1603.8
402,1604.79
402,1605.78
406,1606.77
410,1607.76
406,1608.75
406,1609.74
410,1610.73
410,1611.72
406,1612.71
406,1613.7
406,1614.69
410,1615.68
410,1616.67
414,1617.66
414,1618.65
410,1619.64
410,1620.63
414,1621.62
410,1622.61
410,1623.6
410,1624.59
410,1625.58
410,1626.57
414,1627.56
414,1628.55
416,1629.54
414,1630.53
410,1631.52
410,1632.51
410,1633.5
410,1634.49
406,1635.48
414,1636.47
416,1637.46
414,1638.45
410,1639.44
410,1640.43
410,1641.42
410,1642.41
410,1643.4
410,1644.39
410,1645.38
410,1646.37
414,1647.36
410,1648.35
406,1649.34
410,1650.33
410,1651.32
410,1652.31
406,1653.3
406,1654.29
406,1655.28
410,1656.27
406,1657.26
406,1658.25
410,1659.24
410,1660.23
410,1661.22
406,1662.21
410,1663.2
410,1664.19
410,1665.18
406,1666.17
406,1667.16
406,1668.15
410,1669.14
410,1670.13
406,1671.12
406,1672.11
410,1673.1
410,1674.09
414,1675.08
410,1676.07
406,1677.06
402,1678.05
406,1679.04
410,1680.03
406,1681.02
406,1682.01
414,1683
406,1683.99
406,1684.98
406,1685.97
410,1686.96
414,1687.95
410,1688.94
410,1689.93
410,1690.92
406,1691.91
406,1692.9
406,1693.89
410,1694.88
402,1695.87
406,1696.86
406,1697.85
402,1698.84
400,1699.83
406,1700.82
402,1701.81
402,1702.8
402,1703.79
402,1704.78
